source_review_id,reviewer_1_review_id,reviewer_2_review_id,status,decoy_type,visual_first_hop_correct_reviewer_1,visual_first_hop_correct_reviewer_2,visual_first_hop_correct_agreement,bridge_entity_uniquely_identifiable_reviewer_1,bridge_entity_uniquely_identifiable_reviewer_2,bridge_entity_uniquely_identifiable_agreement,text_second_hop_correct_reviewer_1,text_second_hop_correct_reviewer_2,text_second_hop_correct_agreement,text_second_hop_not_visually_represented_reviewer_1,text_second_hop_not_visually_represented_reviewer_2,text_second_hop_not_visually_represented_agreement,conditions_differ_in_exactly_one_target_relation_reviewer_1,conditions_differ_in_exactly_one_target_relation_reviewer_2,conditions_differ_in_exactly_one_target_relation_agreement,no_direct_image_text_conflict_reviewer_1,no_direct_image_text_conflict_reviewer_2,no_direct_image_text_conflict_agreement,joint_answer_unique_reviewer_1,joint_answer_unique_reviewer_2,joint_answer_unique_agreement,image_alone_not_uniquely_sufficient_reviewer_1,image_alone_not_uniquely_sufficient_reviewer_2,image_alone_not_uniquely_sufficient_agreement,evidence_alone_not_uniquely_sufficient_reviewer_1,evidence_alone_not_uniquely_sufficient_reviewer_2,evidence_alone_not_uniquely_sufficient_agreement,nl_triples_fact_equivalent_reviewer_1,nl_triples_fact_equivalent_reviewer_2,nl_triples_fact_equivalent_agreement,critical_error_reviewer_1,critical_error_reviewer_2,critical_error_agreement,reviewer_1_notes,reviewer_2_notes
CVR-001,R1-2ZXZTM,R2-XM4Y2Y,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-002,R1-TA2H8P,R2-DV8BCE,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-003,R1-TSRZXX,R2-4B6VH8,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-004,R1-SKQXAH,R2-88HDHD,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-005,R1-FUFME5,R2-RNTS3A,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-006,R1-L7QKZD,R2-KRTCTV,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-007,R1-5WQAW7,R2-9SCNKM,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-008,R1-S4AQ47,R2-42CDH3,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-009,R1-HYTDXX,R2-FGADSX,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-010,R1-77FLYK,R2-RFVCJB,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-011,R1-J9CV4G,R2-M4P535,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-012,R1-L3BHHA,R2-CR6VXC,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-013,R1-MJ8848,R2-Z3VZMA,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
CVR-014,R1-ANP3T2,R2-4DURHK,genuine,,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,yes,yes,True,no,no,True,none,none
