pair_id,reviewer_1_id,reviewer_1_fact_equivalent,reviewer_2_id,reviewer_2_fact_equivalent,reviewers_agree,expected_fact_equivalent,decoy,adjudicated_fact_equivalent,disagreement_retained
pair_000,HR01,true,HR02,true,true,true,false,true,false
pair_001,HR01,true,HR02,true,true,true,false,true,false
pair_002,HR01,true,HR02,true,true,true,false,true,false
pair_003,HR01,true,HR02,true,true,true,false,true,false
pair_004,HR01,true,HR02,true,true,true,false,true,false
pair_005,HR01,true,HR02,true,true,true,false,true,false
pair_006,HR01,true,HR02,true,true,true,false,true,false
pair_007,HR01,true,HR02,true,true,true,false,true,false
pair_008,HR01,true,HR02,true,true,true,false,true,false
pair_009,HR01,true,HR02,true,true,true,false,true,false
pair_010,HR01,true,HR02,true,true,true,false,true,false
pair_011,HR01,true,HR02,true,true,true,false,true,false
pair_012,HR01,true,HR02,true,true,true,false,true,false
pair_013,HR01,true,HR02,true,true,true,false,true,false
pair_014,HR01,true,HR02,true,true,true,false,true,false
pair_015,HR01,true,HR02,true,true,true,false,true,false
pair_016,HR01,true,HR02,true,true,true,false,true,false
pair_017,HR01,true,HR02,true,true,true,false,true,false
pair_018,HR01,true,HR02,true,true,true,false,true,false
pair_019,HR01,true,HR02,true,true,true,false,true,false
pair_020,HR01,true,HR02,true,true,true,false,true,false
pair_021,HR01,true,HR02,true,true,true,false,true,false
pair_022,HR01,true,HR02,true,true,true,false,true,false
pair_023,HR01,true,HR02,true,true,true,false,true,false
pair_024,HR01,true,HR02,true,true,true,false,true,false
pair_025,HR01,true,HR02,true,true,true,false,true,false
pair_026,HR01,true,HR02,true,true,true,false,true,false
pair_027,HR01,true,HR02,true,true,true,false,true,false
pair_028,HR01,true,HR02,true,true,true,false,true,false
pair_029,HR01,true,HR02,true,true,true,false,true,false
pair_030,HR01,true,HR02,true,true,true,false,true,false
pair_031,HR01,true,HR02,true,true,true,false,true,false
pair_032,HR01,true,HR02,true,true,true,false,true,false
pair_033,HR01,true,HR02,true,true,true,false,true,false
pair_034,HR01,true,HR02,true,true,true,false,true,false
pair_035,HR01,true,HR02,true,true,true,false,true,false
pair_036,HR01,true,HR02,true,true,true,false,true,false
pair_037,HR01,true,HR02,true,true,true,false,true,false
pair_038,HR01,true,HR02,true,true,true,false,true,false
pair_039,HR01,true,HR02,true,true,true,false,true,false
pair_040,HR01,true,HR02,true,true,true,false,true,false
pair_041,HR01,true,HR02,true,true,true,false,true,false
pair_042,HR01,false,HR02,false,true,false,true,false,false
pair_043,HR01,false,HR02,false,true,false,true,false,false
pair_044,HR01,false,HR02,false,true,false,true,false,false
pair_045,HR01,false,HR02,false,true,false,true,false,false
pair_046,HR01,false,HR02,false,true,false,true,false,false
pair_047,HR01,false,HR02,false,true,false,true,false,false
pair_048,HR01,false,HR02,false,true,false,true,false,false
pair_049,HR01,false,HR02,false,true,false,true,false,false
pair_050,HR01,false,HR02,false,true,false,true,false,false
pair_051,HR01,false,HR02,false,true,false,true,false,false
pair_052,HR01,false,HR02,false,true,false,true,false,false
pair_053,HR01,false,HR02,false,true,false,true,false,false
