review_id,image_path,visual_first_hop_claim,correct_evidence_natural_language,correct_evidence_triples,corrupted_evidence_natural_language,corrupted_evidence_triples,question,semantic_candidates,proposed_joint_answer,proposed_corrupted_answer
CVR-005,data/construct_v2/images/cf727177-5bb7-5814-97bd-667fedb0540b.png,The amber trapezoid is north of the amber crescent.,The amber crescent is east of the gray triangle.,"(amber crescent, east_of, gray triangle)",The amber crescent is west of the gray triangle.,"(amber crescent, west_of, gray triangle)",Which relation describes the amber trapezoid relative to the gray triangle?,southeast | southwest | northwest | northeast,northeast,northwest
CVR-079,data/construct_v2_review/images/CVR-079.png,The green cross is east of the violet diamond.,The violet diamond is north of the amber oval.,"(violet diamond, north_of, amber oval)",The amber trapezoid is south of the amber oval.,"(amber trapezoid, south_of, amber oval)",What is the direction of the green cross from the amber oval?,northeast | southeast | southwest | northwest,northeast,southeast
CVR-073,data/construct_v2_review/images/CVR-073.png,The coral oval is north of the green cross.,The green cross is west of the blue pentagon.,"(green cross, west_of, blue pentagon)",The green cross is east of the blue pentagon.,"(green cross, east_of, blue pentagon)",Which relation describes the coral oval relative to the blue pentagon?,southeast | southwest | northwest | northeast,northwest,northeast
CVR-029,data/construct_v2/images/1f3ce925-be4d-5f6f-b0ed-161479eee0e6.png,The brown oval is west of the coral triangle.,The coral triangle is north of the gold triangle.,"(coral triangle, north_of, gold triangle)",The coral triangle is south of the gold triangle.,"(coral triangle, south_of, gold triangle)",Which relation describes the brown oval relative to the gold triangle?,southeast | southwest | northwest | northeast,northwest,southwest
CVR-071,data/construct_v2_review/images/CVR-071.png,The gold trapezoid is west of the green star.,The green star or the teal triangle is north of the red crescent.,"(green star, north_of, red crescent)",The green star is south of the red crescent.,"(green star, south_of, red crescent)",Which relation describes the gold trapezoid relative to the red crescent?,southeast | southwest | northwest | northeast,northwest,southwest
CVR-072,data/construct_v2_review/images/CVR-072.png,The coral crescent is east of the gray square.,The gray square or the blue hexagon is north of the coral square.,"(gray square, north_of, coral square)",The gray square is south of the coral square.,"(gray square, south_of, coral square)",Locate the coral crescent in relation to the coral square.,northwest | northeast | southeast | southwest,northeast,southeast
CVR-017,data/construct_v2/images/81423e86-d762-5e25-a2b7-3171db4b3ae9.png,The red octagon is north of the red oval.,The red oval is west of the brown diamond.,"(red oval, west_of, brown diamond)",The red oval is east of the brown diamond.,"(red oval, east_of, brown diamond)",Where is the red octagon relative to the brown diamond?,southwest | northwest | northeast | southeast,northwest,northeast
CVR-015,data/construct_v2/images/935f7a0c-2ade-5608-85e2-b9978d87a2dd.png,The teal triangle is east of the violet star.,The violet star is north of the gold square.,"(violet star, north_of, gold square)",The violet star is south of the gold square.,"(violet star, south_of, gold square)",What is the direction of the teal triangle from the gold square?,northeast | southeast | southwest | northwest,northeast,southeast
CVR-075,data/construct_v2_review/images/CVR-075.png,The gold cross is south of the green cross.,The green cross is east of the violet crescent.,"(green cross, east_of, violet crescent)",The green cross is west of the violet crescent.,"(green cross, west_of, violet crescent)",Locate the gold cross in relation to the violet crescent.,northwest | northeast | southeast | southwest,southeast,southwest
CVR-030,data/construct_v2/images/e79bda90-0c86-54b3-a063-042566419808.png,The pink cross is west of the indigo triangle.,The indigo triangle is north of the teal hexagon.,"(indigo triangle, north_of, teal hexagon)",The indigo triangle is south of the teal hexagon.,"(indigo triangle, south_of, teal hexagon)",What is the direction of the pink cross from the teal hexagon?,northeast | southeast | southwest | northwest,northwest,southwest
CVR-035,data/construct_v2/images/84d7ae45-256a-5a47-b787-e46fe07c3d90.png,The teal circle is south of the indigo cross.,The indigo cross is east of the indigo circle.,"(indigo cross, east_of, indigo circle)",The indigo cross is west of the indigo circle.,"(indigo cross, west_of, indigo circle)",Which relation describes the teal circle relative to the indigo circle?,southeast | southwest | northwest | northeast,southeast,southwest
CVR-019,data/construct_v2/images/32e94d68-72ec-5515-8a2d-8c9bb8b02d84.png,The indigo cross is north of the gray hexagon.,The gray hexagon is west of the green crescent.,"(gray hexagon, west_of, green crescent)",The gray hexagon is east of the green crescent.,"(gray hexagon, east_of, green crescent)",What is the direction of the indigo cross from the green crescent?,northeast | southeast | southwest | northwest,northwest,northeast
CVR-049,data/construct_v2/images/97a10eca-6a3d-5fd5-b5cd-372b34d704d4.png,The red crescent is south of the green octagon.,The green octagon is west of the brown crescent.,"(green octagon, west_of, brown crescent)",The green octagon is east of the brown crescent.,"(green octagon, east_of, brown crescent)",Where is the red crescent relative to the brown crescent?,southwest | northwest | northeast | southeast,southwest,southeast
CVR-023,data/construct_v2/images/440b3725-527e-5ab0-aa2c-da5a9a794792.png,The blue trapezoid is west of the coral star.,The coral star is north of the teal cross.,"(coral star, north_of, teal cross)",The coral star is south of the teal cross.,"(coral star, south_of, teal cross)",Where is the blue trapezoid relative to the teal cross?,southwest | northwest | northeast | southeast,northwest,southwest
CVR-020,data/construct_v2/images/1c4b85da-ea28-5fb9-9537-a38790d8710e.png,The blue pentagon is north of the gray circle.,The gray circle is west of the gray crescent.,"(gray circle, west_of, gray crescent)",The gray circle is east of the gray crescent.,"(gray circle, east_of, gray crescent)",Which relation describes the blue pentagon relative to the gray crescent?,southeast | southwest | northwest | northeast,northwest,northeast
CVR-054,data/construct_v2/images/dfb7face-4a23-546f-826a-9bec74e251e4.png,The red crescent is west of the blue trapezoid.,The blue trapezoid is south of the gold trapezoid.,"(blue trapezoid, south_of, gold trapezoid)",The blue trapezoid is north of the gold trapezoid.,"(blue trapezoid, north_of, gold trapezoid)",Locate the red crescent in relation to the gold trapezoid.,northwest | northeast | southeast | southwest,southwest,northwest
