pair_id,question,options,evidence_a,evidence_b,fact_equivalent,same_entities,same_attributes,same_relations,same_answer,naturalness_issue,ambiguity_issue,critical_error,reviewer_id
pair_000,What color is the entity in_front_of lb_088_z1?,red | blue | green | yellow | purple | orange,"(lb_088_s0, in_front_of, lb_088_z1)
(lb_088_s0, color, green)
(lb_088_z1, shape, square)","Entity lb_088_s0 is in_front_of entity lb_088_z1.
Entity lb_088_s0 has color green.
Entity lb_088_z1 has shape square.",,,,,,,,,
pair_001,What color is the entity in_front_of lb_028_n1?,red | blue | green | yellow | purple | orange,"(lb_028_w0, in_front_of, lb_028_n1)
(lb_028_w0, color, green)
(lb_028_n1, shape, square)","Entity lb_028_w0 is in_front_of entity lb_028_n1.
Entity lb_028_w0 has color green.
Entity lb_028_n1 has shape square.",,,,,,,,,
pair_002,What color is the entity above lb_128_r1?,red | blue | green | yellow | purple | orange,"Entity lb_128_k0 is above entity lb_128_r1.
Entity lb_128_k0 has color red.
Entity lb_128_r1 has shape square.","(lb_128_k0, above, lb_128_r1)
(lb_128_k0, color, red)
(lb_128_r1, shape, square)",,,,,,,,,
pair_003,What color is the entity behind twice from lb_137_r2?,red | blue | green | yellow | purple | orange,"Entity lb_137_t0 is behind entity lb_137_k1.
Entity lb_137_k1 is behind entity lb_137_r2.
Entity lb_137_t0 has color yellow.","(lb_137_t0, behind, lb_137_k1)
(lb_137_k1, behind, lb_137_r2)
(lb_137_t0, color, yellow)",,,,,,,,,
pair_004,What color is the entity behind twice from lb_131_l2?,red | blue | green | yellow | purple | orange,"(lb_131_n0, behind, lb_131_u1)
(lb_131_u1, behind, lb_131_l2)
(lb_131_n0, color, purple)","Entity lb_131_n0 is behind entity lb_131_u1.
Entity lb_131_u1 is behind entity lb_131_l2.
Entity lb_131_n0 has color purple.",,,,,,,,,
pair_005,What color is the entity right_of twice from lb_097_z2?,red | blue | green | yellow | purple | orange,"(lb_097_l0, right_of, lb_097_s1)
(lb_097_s1, right_of, lb_097_z2)
(lb_097_l0, color, purple)","Entity lb_097_l0 is right_of entity lb_097_s1.
Entity lb_097_s1 is right_of entity lb_097_z2.
Entity lb_097_l0 has color purple.",,,,,,,,,
pair_006,What color is the entity left_of lb_192_r1?,red | blue | green | yellow | purple | orange,"(lb_192_k0, right_of, lb_192_r1)
(lb_192_k0, color, orange)
(lb_192_r1, shape, square)","Entity lb_192_k0 is right_of entity lb_192_r1.
Entity lb_192_k0 has color orange.
Entity lb_192_r1 has shape square.",,,,,,,,,
pair_007,What color is the entity left_of lb_132_v1?,red | blue | green | yellow | purple | orange,"(lb_132_o0, right_of, lb_132_v1)
(lb_132_o0, color, yellow)
(lb_132_v1, shape, square)","Entity lb_132_o0 is right_of entity lb_132_v1.
Entity lb_132_o0 has color yellow.
Entity lb_132_v1 has shape square.",,,,,,,,,
pair_008,What color is the entity in_front_of lb_064_r1?,red | blue | green | yellow | purple | orange,"(lb_064_k0, behind, lb_064_r1)
(lb_064_k0, color, red)
(lb_064_r1, shape, square)","Entity lb_064_k0 is behind entity lb_064_r1.
Entity lb_064_k0 has color red.
Entity lb_064_r1 has shape square.",,,,,,,,,
pair_009,What color is the entity right_of twice from lb_139_t2?,red | blue | green | yellow | purple | orange,"Entity lb_139_v0 is left_of entity lb_139_m1.
Entity lb_139_m1 is right_of entity lb_139_t2.
Entity lb_139_v0 has color yellow.","(lb_139_v0, left_of, lb_139_m1)
(lb_139_m1, right_of, lb_139_t2)
(lb_139_v0, color, yellow)",,,,,,,,,
pair_010,What color is the entity below twice from lb_039_p2?,red | blue | green | yellow | purple | orange,"(lb_039_r0, above, lb_039_y1)
(lb_039_y1, below, lb_039_p2)
(lb_039_r0, color, orange)","Entity lb_039_r0 is above entity lb_039_y1.
Entity lb_039_y1 is below entity lb_039_p2.
Entity lb_039_r0 has color orange.",,,,,,,,,
pair_011,What color is the entity below twice from lb_177_z2?,red | blue | green | yellow | purple | orange,"Entity lb_177_l0 is above entity lb_177_s1.
Entity lb_177_s1 is below entity lb_177_z2.
Entity lb_177_l0 has color blue.","(lb_177_l0, above, lb_177_s1)
(lb_177_s1, below, lb_177_z2)
(lb_177_l0, color, blue)",,,,,,,,,
pair_012,What color is the entity left_of lb_114_t1?,red | blue | green | yellow | purple | orange,"Entity lb_114_t1 is left_of entity lb_114_m0.
Entity lb_114_m0 has color orange.
Entity lb_114_t1 has shape star.","(lb_114_t1, left_of, lb_114_m0)
(lb_114_m0, color, orange)
(lb_114_t1, shape, star)",,,,,,,,,
pair_013,What color is the entity above lb_194_t1?,red | blue | green | yellow | purple | orange,"(lb_194_t1, above, lb_194_m0)
(lb_194_m0, color, green)
(lb_194_t1, shape, star)","Entity lb_194_t1 is above entity lb_194_m0.
Entity lb_194_m0 has color green.
Entity lb_194_t1 has shape star.",,,,,,,,,
pair_014,What color is the entity in_front_of lb_118_x1?,red | blue | green | yellow | purple | orange,"(lb_118_x1, in_front_of, lb_118_q0)
(lb_118_q0, color, blue)
(lb_118_x1, shape, star)","Entity lb_118_x1 is in_front_of entity lb_118_q0.
Entity lb_118_q0 has color blue.
Entity lb_118_x1 has shape star.",,,,,,,,,
pair_015,What color is the entity behind twice from lb_041_r2?,red | blue | green | yellow | purple | orange,"(lb_041_k1, behind, lb_041_t0)
(lb_041_k1, behind, lb_041_r2)
(lb_041_t0, color, green)","Entity lb_041_k1 is behind entity lb_041_t0.
Entity lb_041_k1 is behind entity lb_041_r2.
Entity lb_041_t0 has color green.",,,,,,,,,
pair_016,What color is the entity right_of twice from lb_007_p2?,red | blue | green | yellow | purple | orange,"Entity lb_007_y1 is right_of entity lb_007_r0.
Entity lb_007_y1 is right_of entity lb_007_p2.
Entity lb_007_r0 has color purple.","(lb_007_y1, right_of, lb_007_r0)
(lb_007_y1, right_of, lb_007_p2)
(lb_007_r0, color, purple)",,,,,,,,,
